run_key,run_label,step,action_type,target,ok,world_score,human_score,resident_mood_score
before_refactor,Before Refactor,0,move,living_room,True,1.0,0.9995,0.9982
before_refactor,Before Refactor,1,scan,living_room,True,0.98,0.9885,0.997
before_refactor,Before Refactor,2,move,bedroom,True,1.0,0.999,0.9958
before_refactor,Before Refactor,3,move,living_room,True,0.96,0.9771,0.9946
before_refactor,Before Refactor,4,move,bedroom,True,0.92,0.9554,0.9934
before_refactor,Before Refactor,5,move,living_room,True,0.955,0.9783,0.9922
before_refactor,Before Refactor,6,move,bedroom,True,0.975,0.9888,0.991
before_refactor,Before Refactor,7,push,door_bedroom,True,0.98,0.9867,0.9898
before_refactor,Before Refactor,8,move,living_room,True,0.94,0.9649,0.9886
before_refactor,Before Refactor,9,scan,living_room,True,0.96,0.9754,0.9874
before_refactor,Before Refactor,10,scan,living_room,True,0.876,0.929,0.9862
before_refactor,Before Refactor,11,push,door_living_room,True,0.856,0.8919,0.985
before_refactor,Before Refactor,12,move,bedroom,True,0.94,0.9357,0.9838
before_refactor,Before Refactor,13,scan,bedroom,True,0.94,0.9354,0.9826
before_refactor,Before Refactor,14,move,living_room,True,0.98,0.9746,0.9814
before_refactor,Before Refactor,15,move,kitchen,True,0.96,0.9659,0.9802
before_refactor,Before Refactor,16,push,door_kitchen,True,0.96,0.9647,0.979
before_refactor,Before Refactor,17,move,living_room,True,0.96,0.9608,0.9778
before_refactor,Before Refactor,18,scan,living_room,True,0.96,0.9547,0.9766
before_refactor,Before Refactor,19,push,door_living_room,True,0.96,0.9496,0.9754
before_refactor,Before Refactor,20,push,door_living_room,True,0.96,0.9451,0.9742
before_refactor,Before Refactor,21,scan,door_living_room,True,0.96,0.9413,0.973
before_refactor,Before Refactor,22,push,door_living_room,True,0.96,0.9382,0.9718
before_refactor,Before Refactor,23,move,kitchen,True,0.96,0.9353,0.9706
before_refactor,Before Refactor,24,move,living_room,True,0.96,0.9329,0.9694
before_refactor,Before Refactor,25,move,kitchen,True,0.94,0.92,0.9682
before_refactor,Before Refactor,26,move,bathroom,True,0.98,0.9397,0.967
before_refactor,Before Refactor,27,push,door_bathroom,True,0.98,0.9381,0.9658
before_refactor,Before Refactor,28,move,bedroom,True,0.98,0.9367,0.9646
before_refactor,Before Refactor,29,move,bathroom,True,0.98,0.9382,0.9634
before_refactor,Before Refactor,30,move,bedroom,True,0.98,0.9418,0.9622
before_refactor,Before Refactor,31,move,bathroom,True,0.98,0.9449,0.961
before_refactor,Before Refactor,32,scan,bathroom,True,0.98,0.8564,0.9598
before_refactor,Before Refactor,33,scan,bathroom,True,0.98,0.8584,0.9586
before_refactor,Before Refactor,34,move,bedroom,True,0.98,0.8601,0.9574
before_refactor,Before Refactor,35,move,living_room,True,0.96,0.8508,0.9562
before_refactor,Before Refactor,36,move,bedroom,True,0.794,0.7675,0.955
before_refactor,Before Refactor,37,move,living_room,True,0.794,0.7684,0.9538
before_refactor,Before Refactor,38,scan,living_room,True,0.794,0.7691,0.9526
before_refactor,Before Refactor,39,scan,living_room,True,0.794,0.7698,0.9514
before_refactor,Before Refactor,40,move,kitchen,True,0.794,0.7702,0.9502
before_refactor,Before Refactor,41,scan,kitchen,True,0.794,0.7752,0.949
before_refactor,Before Refactor,42,move,living_room,True,0.794,0.7834,0.9478
before_refactor,Before Refactor,43,move,kitchen,True,0.794,0.7903,0.9466
before_refactor,Before Refactor,44,move,living_room,True,0.754,0.7714,0.9454
before_refactor,Before Refactor,45,move,kitchen,True,0.714,0.7495,0.9441
before_refactor,Before Refactor,46,scan,kitchen,True,0.714,0.7492,0.9428
before_refactor,Before Refactor,47,scan,kitchen,True,0.658,0.7188,0.9414
before_refactor,Before Refactor,48,move,living_room,True,0.7015,0.744,0.94
before_refactor,Before Refactor,49,move,bedroom,True,0.699,0.7432,0.9403
before_refactor,Before Refactor,50,scan,bedroom,True,0.7015,0.7441,0.9406
before_refactor,Before Refactor,51,move,living_room,True,0.7015,0.7442,0.9408
before_refactor,Before Refactor,52,scan,living_room,True,0.714,0.7488,0.941
before_refactor,Before Refactor,53,scan,living_room,True,0.699,0.7434,0.9413
before_refactor,Before Refactor,54,move,kitchen,True,0.689,0.7399,0.9416
before_refactor,Before Refactor,55,scan,kitchen,True,0.714,0.749,0.9418
before_refactor,Before Refactor,56,move,living_room,True,0.714,0.749,0.942
before_refactor,Before Refactor,57,scan,living_room,True,0.6865,0.7392,0.9423
before_refactor,Before Refactor,58,move,kitchen,True,0.7015,0.7446,0.9426
before_refactor,Before Refactor,59,move,living_room,True,0.714,0.7492,0.9428
before_refactor,Before Refactor,60,move,balcony,True,0.7015,0.7448,0.943
before_refactor,Before Refactor,61,scan,balcony,True,0.699,0.7439,0.9433
before_refactor,Before Refactor,62,move,living_room,True,0.7015,0.7449,0.9436
before_refactor,Before Refactor,63,move,bedroom,True,0.7015,0.745,0.9438
before_refactor,Before Refactor,64,scan,bedroom,True,0.714,0.7495,0.944
before_refactor,Before Refactor,65,scan,bedroom,True,0.699,0.7442,0.9443
before_refactor,Before Refactor,66,move,living_room,True,0.689,0.7406,0.9446
before_refactor,Before Refactor,67,move,bedroom,True,0.714,0.7497,0.9448
before_refactor,Before Refactor,68,move,living_room,True,0.714,0.7498,0.945
before_refactor,Before Refactor,69,move,bedroom,True,0.6865,0.7399,0.9453
before_refactor,Before Refactor,70,scan,bedroom,True,0.7015,0.7454,0.9456
before_refactor,Before Refactor,71,scan,bedroom,True,0.714,0.7498,0.945
before_refactor,Before Refactor,72,scan,bedroom,True,0.7015,0.7449,0.9436
before_refactor,Before Refactor,73,move,living_room,True,0.679,0.7329,0.9422
before_refactor,Before Refactor,74,move,kitchen,True,0.7015,0.7442,0.9408
before_refactor,Before Refactor,75,scan,juice_fridge_kitchen,True,0.7015,0.7439,0.9395
before_refactor,Before Refactor,76,scan,juice_fridge_kitchen,True,0.658,0.7179,0.9381
before_refactor,Before Refactor,77,scan,juice_fridge_kitchen,True,0.74,0.7679,0.9367
before_refactor,Before Refactor,78,scan,milk_fridge_kitchen,True,0.765,0.7766,0.9353
before_refactor,Before Refactor,79,scan,juice_fridge_kitchen,True,0.745,0.7655,0.9339
