experiment,scene,condition,method,final,state,spatial,human,auc_final,delta_vs_no_robot
diversity,Home,Compact,no_robot,0.6502,0.6006,0.6049,0.8413,0.6904,+0.0000
diversity,Home,Compact,goal_review,0.7314,0.6282,0.7650,0.9048,0.7370,+0.0812
diversity,Home,Normal,no_robot,0.6421,0.5826,0.6049,0.8413,0.6830,+0.0000
diversity,Home,Normal,goal_review,0.7089,0.5770,0.7756,0.8889,0.7303,+0.0668
diversity,Home,Spread,no_robot,0.6408,0.5795,0.6049,0.8413,0.6817,+0.0000
diversity,Home,Spread,goal_review,0.7158,0.6033,0.7479,0.9127,0.7365,+0.0750
schedule,Home,Fixed,no_robot,0.6408,0.5795,0.6049,0.8413,0.6817,+0.0000
schedule,Home,Fixed,reactive,0.6497,0.5993,0.6049,0.8413,0.6891,+0.0089
schedule,Home,Fixed,single_round,0.6033,0.6247,0.5396,0.6667,0.6436,-0.0375
schedule,Home,Fixed,goal_review,0.6291,0.5494,0.6102,0.8413,0.6807,-0.0117
schedule,Home,Calendar,no_robot,0.6452,0.5796,0.6097,0.8548,0.6849,+0.0000
schedule,Home,Calendar,reactive,0.6568,0.6054,0.6097,0.8548,0.6947,+0.0116
schedule,Home,Calendar,single_round,0.6050,0.6237,0.5396,0.6774,0.6454,-0.0402
schedule,Home,Calendar,goal_review,0.7120,0.5772,0.7946,0.8710,0.7335,+0.0668
schedule,Home,Stochastic,no_robot,0.6481,0.5792,0.6145,0.8618,0.6850,+0.0000
schedule,Home,Stochastic,reactive,0.6649,0.6166,0.6145,0.8618,0.7042,+0.0168
schedule,Home,Stochastic,single_round,0.6242,0.6274,0.5866,0.6829,0.6593,-0.0239
schedule,Home,Stochastic,goal_review,0.7241,0.5972,0.7899,0.8943,0.7571,+0.0760
diversity,Hospital,Compact,no_robot,0.5458,0.6318,0.2816,0.8148,0.5753,+0.0000
diversity,Hospital,Compact,goal_review,0.7756,0.6501,0.8086,1.0000,0.7844,+0.2298
diversity,Hospital,Normal,no_robot,0.5322,0.6014,0.2816,0.8148,0.5623,+0.0000
diversity,Hospital,Normal,goal_review,0.5837,0.6078,0.4036,0.8444,0.6355,+0.0515
diversity,Hospital,Spread,no_robot,0.5100,0.5522,0.2816,0.8148,0.5413,+0.0000
diversity,Hospital,Spread,goal_review,0.7041,0.5927,0.7586,0.8593,0.7104,+0.1941
schedule,Hospital,Fixed,no_robot,0.5125,0.5578,0.2816,0.8148,0.5436,+0.0000
schedule,Hospital,Fixed,reactive,0.5252,0.5860,0.2816,0.8148,0.5513,+0.0127
schedule,Hospital,Fixed,single_round,0.6932,0.5594,0.6898,1.0000,0.7058,+0.1807
schedule,Hospital,Fixed,goal_review,0.5591,0.5787,0.3835,0.8222,0.5991,+0.0466
schedule,Hospital,Calendar,no_robot,0.5125,0.5578,0.2816,0.8148,0.5436,+0.0000
schedule,Hospital,Calendar,reactive,0.5370,0.6143,0.2811,0.8111,0.5643,+0.0245
schedule,Hospital,Calendar,single_round,0.6932,0.5594,0.6898,1.0000,0.7058,+0.1807
schedule,Hospital,Calendar,goal_review,0.5618,0.5622,0.4062,0.8333,0.6210,+0.0493
schedule,Hospital,Stochastic,no_robot,0.5055,0.5577,0.2806,0.7814,0.5322,+0.0000
schedule,Hospital,Stochastic,reactive,0.5307,0.6143,0.2800,0.7814,0.5553,+0.0252
schedule,Hospital,Stochastic,single_round,0.6502,0.5636,0.6402,0.8623,0.6645,+0.1447
schedule,Hospital,Stochastic,goal_review,0.6061,0.6293,0.4738,0.7854,0.6320,+0.1006
diversity,Supermarket,Compact,no_robot,0.6354,0.5942,0.7297,0.5629,0.6609,+0.0000
diversity,Supermarket,Compact,goal_review,0.7832,0.6198,0.9299,0.8940,0.7912,+0.1478
diversity,Supermarket,Normal,no_robot,0.5766,0.4635,0.7297,0.5629,0.6048,+0.0000
diversity,Supermarket,Normal,goal_review,0.6578,0.4897,0.8185,0.7550,0.6807,+0.0812
diversity,Supermarket,Spread,no_robot,0.5637,0.4349,0.7297,0.5629,0.5924,+0.0000
diversity,Supermarket,Spread,goal_review,0.7103,0.4730,0.9256,0.8675,0.7074,+0.1466
schedule,Supermarket,Fixed,no_robot,0.5672,0.4427,0.7297,0.5629,0.5960,+0.0000
schedule,Supermarket,Fixed,reactive,0.5428,0.4591,0.6389,0.5629,0.5712,-0.0244
schedule,Supermarket,Fixed,single_round,0.6433,0.4600,0.8340,0.7219,0.6781,+0.0761
schedule,Supermarket,Fixed,goal_review,0.6618,0.4620,0.8464,0.7881,0.6905,+0.0946
schedule,Supermarket,Calendar,no_robot,0.5672,0.4427,0.7297,0.5629,0.5960,+0.0000
schedule,Supermarket,Calendar,reactive,0.5423,0.4580,0.6389,0.5629,0.5707,-0.0249
schedule,Supermarket,Calendar,single_round,0.6433,0.4600,0.8340,0.7219,0.6781,+0.0761
schedule,Supermarket,Calendar,goal_review,0.6583,0.4636,0.8269,0.8013,0.6780,+0.0911
schedule,Supermarket,Stochastic,no_robot,0.5694,0.4477,0.7297,0.5629,0.6016,+0.0000
schedule,Supermarket,Stochastic,reactive,0.5448,0.4634,0.6390,0.5629,0.5769,-0.0246
schedule,Supermarket,Stochastic,single_round,0.6597,0.4677,0.8369,0.7815,0.6796,+0.0903
schedule,Supermarket,Stochastic,goal_review,0.6352,0.4675,0.8089,0.7086,0.6526,+0.0658
diversity,Office,Compact,no_robot,0.5003,0.6197,0.3414,0.5096,0.5261,+0.0000
diversity,Office,Compact,goal_review,0.6787,0.6079,0.7681,0.6815,0.7254,+0.1784
diversity,Office,Normal,no_robot,0.4542,0.5173,0.3414,0.5096,0.4836,+0.0000
diversity,Office,Normal,goal_review,0.7056,0.5259,0.9140,0.7452,0.7176,+0.2514
diversity,Office,Spread,no_robot,0.4455,0.4980,0.3414,0.5096,0.4756,+0.0000
diversity,Office,Spread,goal_review,0.6352,0.5112,0.7646,0.6879,0.6629,+0.1897
schedule,Office,Fixed,no_robot,0.4499,0.5078,0.3414,0.5096,0.4798,+0.0000
schedule,Office,Fixed,reactive,0.5088,0.6423,0.3368,0.5096,0.5296,+0.0589
schedule,Office,Fixed,single_round,0.7536,0.5327,0.9769,0.8599,0.7693,+0.3037
schedule,Office,Fixed,goal_review,0.6832,0.5162,0.8698,0.7325,0.7123,+0.2333
schedule,Office,Calendar,no_robot,0.4497,0.5065,0.3414,0.5116,0.4793,+0.0000
schedule,Office,Calendar,reactive,0.5086,0.6408,0.3368,0.5116,0.5290,+0.0589
schedule,Office,Calendar,single_round,0.7565,0.5357,0.9810,0.8605,0.7713,+0.3068
schedule,Office,Calendar,goal_review,0.6904,0.5235,0.8788,0.7364,0.6887,+0.2407
schedule,Office,Stochastic,no_robot,0.4566,0.5052,0.3414,0.5487,0.4862,+0.0000
schedule,Office,Stochastic,reactive,0.5148,0.6381,0.3368,0.5487,0.5349,+0.0582
schedule,Office,Stochastic,single_round,0.7447,0.5203,0.9833,0.8319,0.7648,+0.2881
schedule,Office,Stochastic,goal_review,0.7003,0.5276,0.9179,0.7080,0.7094,+0.2437
diversity,Factory,Compact,no_robot,0.4973,0.5193,0.6040,0.2612,0.5166,+0.0000
diversity,Factory,Compact,goal_review,0.6685,0.5483,0.9406,0.4627,0.6795,+0.1712
diversity,Factory,Normal,no_robot,0.4307,0.3713,0.6040,0.2612,0.4515,+0.0000
diversity,Factory,Normal,goal_review,0.6326,0.4226,0.9613,0.5299,0.6341,+0.2019
diversity,Factory,Spread,no_robot,0.3913,0.2837,0.6040,0.2612,0.4133,+0.0000
diversity,Factory,Spread,goal_review,0.4650,0.3237,0.7376,0.3060,0.4593,+0.0737
schedule,Factory,Fixed,no_robot,0.3760,0.2497,0.6040,0.2612,0.3994,+0.0000
schedule,Factory,Fixed,reactive,0.3734,0.3215,0.5042,0.2612,0.3955,-0.0026
schedule,Factory,Fixed,single_round,0.6484,0.4186,0.9860,0.5746,0.6522,+0.2724
schedule,Factory,Fixed,goal_review,0.5770,0.3028,0.9651,0.5149,0.5841,+0.2010
schedule,Factory,Calendar,no_robot,0.3765,0.2497,0.6040,0.2636,0.3996,+0.0000
schedule,Factory,Calendar,reactive,0.3702,0.3133,0.5042,0.2636,0.3895,-0.0063
schedule,Factory,Calendar,single_round,0.6483,0.4170,0.9889,0.5727,0.6518,+0.2718
schedule,Factory,Calendar,goal_review,0.5803,0.2962,0.9760,0.5273,0.5878,+0.2038
schedule,Factory,Stochastic,no_robot,0.3577,0.2439,0.5258,0.3196,0.4239,+0.0000
schedule,Factory,Stochastic,reactive,0.3705,0.3499,0.4262,0.3196,0.4242,+0.0128
schedule,Factory,Stochastic,single_round,0.6637,0.4151,0.9856,0.6598,0.6798,+0.3060
schedule,Factory,Stochastic,goal_review,0.5897,0.3055,0.9444,0.6082,0.5940,+0.2320
